step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=5000: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=2450  (tn=40000, r=37357)
step=10000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2484  (tn=40032, r=37230)
step=15000: nr=1, ctr1=1, ctr2=1, ctr3=1, RNA=2857  (tn=40032, r=36282)
step=20000: nr=35, ctr1=1, ctr2=1, ctr3=1, RNA=3766  (tn=40032, r=33307)
step=25000: nr=88, ctr1=1, ctr2=1, ctr3=1, RNA=5172  (tn=40032, r=28173)
step=30000: nr=118, ctr1=1, ctr2=1, ctr3=2, RNA=6754  (tn=40032, r=23008)
step=35000: nr=146, ctr1=1, ctr2=1, ctr3=2, RNA=8144  (tn=40032, r=17890)
step=40000: nr=146, ctr1=1, ctr2=1, ctr3=2, RNA=8848  (tn=40032, r=13712)
step=45000: nr=160, ctr1=4, ctr2=1, ctr3=3, RNA=9097  (tn=40032, r=10162)
step=50000: nr=169, ctr1=4, ctr2=1, ctr3=3, RNA=9129  (tn=40032, r=7541)
step=55000: nr=178, ctr1=4, ctr2=1, ctr3=5, RNA=9327  (tn=40032, r=5315)
step=60000: nr=183, ctr1=4, ctr2=1, ctr3=5, RNA=9342  (tn=40032, r=3766)
step=65000: nr=188, ctr1=4, ctr2=1, ctr3=6, RNA=9291  (tn=40032, r=2775)
step=70000: nr=193, ctr1=4, ctr2=1, ctr3=6, RNA=9200  (tn=40032, r=2037)
step=75000: nr=195, ctr1=4, ctr2=1, ctr3=6, RNA=9150  (tn=40032, r=1505)
step=80000: nr=201, ctr1=4, ctr2=1, ctr3=6, RNA=9044  (tn=40032, r=1086)
step=85000: nr=203, ctr1=5, ctr2=1, ctr3=6, RNA=8882  (tn=40032, r=805)
step=90000: nr=205, ctr1=5, ctr2=1, ctr3=6, RNA=8765  (tn=40032, r=606)
step=95000: nr=210, ctr1=5, ctr2=1, ctr3=6, RNA=8675  (tn=40032, r=458)
step=100000: nr=204, ctr1=5, ctr2=1, ctr3=6, RNA=8548  (tn=40032, r=336)
step=105000: nr=201, ctr1=5, ctr2=1, ctr3=6, RNA=8465  (tn=40032, r=245)
step=110000: nr=209, ctr1=5, ctr2=1, ctr3=6, RNA=8360  (tn=40032, r=175)
step=115000: nr=206, ctr1=5, ctr2=1, ctr3=6, RNA=8264  (tn=40032, r=120)
step=120000: nr=206, ctr1=5, ctr2=1, ctr3=6, RNA=8162  (tn=40032, r=98)
step=125000: nr=198, ctr1=5, ctr2=1, ctr3=6, RNA=8069  (tn=40032, r=70)
step=130000: nr=200, ctr1=5, ctr2=1, ctr3=6, RNA=7994  (tn=40032, r=56)
step=135000: nr=201, ctr1=5, ctr2=1, ctr3=6, RNA=7909  (tn=40032, r=40)
step=140000: nr=199, ctr1=5, ctr2=1, ctr3=6, RNA=7865  (tn=40032, r=24)
step=145000: nr=200, ctr1=5, ctr2=1, ctr3=6, RNA=7779  (tn=40032, r=19)
step=150000: nr=204, ctr1=5, ctr2=1, ctr3=6, RNA=7716  (tn=40032, r=13)
程序运行时间：330.361 s
