----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4743 (0)  (tn=80640, r=75101)
----- step=20000: nr=45 (0), hr=1 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=1 (0), ctr3=1 (0), unit=7057 (0)  (tn=80640, r=63167)
----- step=30000: nr=155 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=1 (0), unit=9966 (0)  (tn=80640, r=44600)
----- step=40000: nr=265 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11163 (0)  (tn=80640, r=33261)
----- step=50000: nr=297 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11544 (0)  (tn=80640, r=26800)
----- step=60000: nr=307 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11465 (0)  (tn=80640, r=23297)
----- step=70000: nr=320 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11263 (0)  (tn=80640, r=21032)
----- step=80000: nr=287 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11083 (0)  (tn=80640, r=19281)
----- step=90000: nr=267 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11012 (0)  (tn=80640, r=17392)
----- step=100000: nr=323 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11046 (0)  (tn=80640, r=16067)
----- step=110000: nr=300 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10998 (0)  (tn=80640, r=15017)
----- step=120000: nr=334 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10989 (0)  (tn=80640, r=14149)
----- step=130000: nr=319 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10884 (31)  (tn=80640, r=13237)
----- step=140000: nr=346 (6), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10812 (137)  (tn=80640, r=12394)
----- step=150000: nr=362 (8), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10588 (281)  (tn=80640, r=11573)
----- step=160000: nr=329 (2), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10388 (360)  (tn=80640, r=11027)
----- step=170000: nr=356 (1), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10357 (397)  (tn=80640, r=10104)
----- step=180000: nr=303 (7), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10336 (521)  (tn=80640, r=9016)
----- step=190000: nr=369 (14), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10412 (574)  (tn=80640, r=7811)
----- step=200000: nr=298 (9), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10350 (601)  (tn=80640, r=6820)
----- step=210000: nr=273 (28), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10345 (683)  (tn=80640, r=6954)
----- step=220000: nr=310 (24), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10243 (758)  (tn=80640, r=6514)
----- step=230000: nr=305 (18), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10214 (800)  (tn=80640, r=6448)
----- step=240000: nr=295 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10048 (868)  (tn=80640, r=6664)
----- step=250000: nr=247 (5), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9942 (914)  (tn=80640, r=6877)
----- step=260000: nr=291 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9752 (970)  (tn=80640, r=7439)
----- step=270000: nr=276 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9623 (936)  (tn=80640, r=7967)
----- step=280000: nr=219 (9), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9568 (1012)  (tn=80640, r=7828)
----- step=290000: nr=219 (16), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9323 (1151)  (tn=80640, r=8224)
----- step=300000: nr=180 (12), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9280 (1216)  (tn=80640, r=8615)
----- step=310000: nr=166 (15), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9115 (1270)  (tn=80640, r=9133)
----- step=320000: nr=165 (21), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8884 (1437)  (tn=80640, r=8937)
----- step=330000: nr=188 (32), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8817 (1432)  (tn=80640, r=9334)
----- step=340000: nr=169 (40), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8705 (1581)  (tn=80640, r=9060)
----- step=350000: nr=165 (48), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8576 (1639)  (tn=80640, r=9195)
----- step=360000: nr=174 (63), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8438 (1740)  (tn=80640, r=9767)
----- step=370000: nr=162 (62), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8266 (1831)  (tn=80640, r=9847)
----- step=380000: nr=132 (54), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8249 (1809)  (tn=80640, r=10390)
----- step=390000: nr=126 (60), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8041 (1820)  (tn=80640, r=10955)
----- step=400000: nr=135 (79), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7936 (1895)  (tn=80640, r=11729)
----- step=410000: nr=156 (89), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7856 (1909)  (tn=80640, r=11755)
----- step=420000: nr=180 (91), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7860 (2029)  (tn=80640, r=12158)
----- step=430000: nr=166 (95), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7754 (1986)  (tn=80640, r=12097)
----- step=440000: nr=142 (67), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7722 (2002)  (tn=80640, r=12529)
----- step=450000: nr=137 (81), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7682 (2073)  (tn=80640, r=12447)
----- step=460000: nr=146 (79), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7671 (2118)  (tn=80640, r=12544)
----- step=470000: nr=112 (81), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7612 (2090)  (tn=80640, r=12840)
----- step=480000: nr=138 (90), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7612 (2081)  (tn=80640, r=12652)
----- step=490000: nr=134 (96), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7641 (2076)  (tn=80640, r=12628)
----- step=500000: nr=150 (98), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7654 (2042)  (tn=80640, r=12750)
----- step=510000: nr=159 (122), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7667 (2111)  (tn=80640, r=12652)
----- step=520000: nr=170 (120), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7681 (2167)  (tn=80640, r=12189)
----- step=530000: nr=182 (144), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7604 (2244)  (tn=80640, r=11931)
----- step=540000: nr=177 (131), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7618 (2069)  (tn=80640, r=12122)
