step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=10000: nr=10, ctr1=10, ctr2=10, ctr3=10, RNA=2433  (tn=40320, r=37509)
step=20000: nr=362, ctr1=9, ctr2=11, ctr3=9, RNA=5550  (tn=40320, r=24990)
step=30000: nr=1255, ctr1=9, ctr2=11, ctr3=9, RNA=7937  (tn=40320, r=7881)
step=40000: nr=1729, ctr1=8, ctr2=10, ctr3=9, RNA=8091  (tn=40320, r=1554)
step=50000: nr=1937, ctr1=8, ctr2=11, ctr3=9, RNA=7511  (tn=40320, r=257)
step=60000: nr=2024, ctr1=8, ctr2=10, ctr3=9, RNA=7026  (tn=40320, r=40)
step=70000: nr=2057, ctr1=6, ctr2=9, ctr3=8, RNA=6634  (tn=40320, r=10)
step=80000: nr=2091, ctr1=5, ctr2=7, ctr3=8, RNA=6369  (tn=40320, r=12)
step=90000: nr=2088, ctr1=5, ctr2=5, ctr3=6, RNA=6130  (tn=40320, r=13)
step=100000: nr=2071, ctr1=5, ctr2=4, ctr3=6, RNA=5974  (tn=40320, r=10)
step=110000: nr=2052, ctr1=5, ctr2=4, ctr3=6, RNA=5813  (tn=40320, r=11)
step=120000: nr=2037, ctr1=4, ctr2=4, ctr3=6, RNA=5684  (tn=40320, r=10)
step=130000: nr=2012, ctr1=4, ctr2=4, ctr3=6, RNA=5602  (tn=40320, r=7)
step=140000: nr=1969, ctr1=3, ctr2=4, ctr3=6, RNA=5495  (tn=40320, r=15)
step=150000: nr=1967, ctr1=3, ctr2=4, ctr3=6, RNA=5475  (tn=40320, r=12)
step=160000: nr=1957, ctr1=3, ctr2=4, ctr3=6, RNA=5397  (tn=40320, r=16)
step=170000: nr=1922, ctr1=3, ctr2=4, ctr3=5, RNA=5343  (tn=40320, r=21)
step=180000: nr=1910, ctr1=3, ctr2=4, ctr3=5, RNA=5324  (tn=40320, r=24)
step=190000: nr=1888, ctr1=3, ctr2=4, ctr3=4, RNA=5270  (tn=40320, r=15)
step=200000: nr=1850, ctr1=3, ctr2=4, ctr3=4, RNA=5238  (tn=40320, r=13)
step=210000: nr=1848, ctr1=3, ctr2=4, ctr3=4, RNA=5210  (tn=40320, r=19)
step=220000: nr=1824, ctr1=2, ctr2=4, ctr3=4, RNA=5173  (tn=40320, r=21)
step=230000: nr=1789, ctr1=2, ctr2=4, ctr3=3, RNA=5106  (tn=40320, r=23)
step=240000: nr=1790, ctr1=2, ctr2=4, ctr3=3, RNA=5110  (tn=40320, r=20)
step=250000: nr=1752, ctr1=2, ctr2=3, ctr3=3, RNA=5065  (tn=40320, r=21)
step=260000: nr=1750, ctr1=2, ctr2=4, ctr3=2, RNA=5046  (tn=40320, r=24)
step=270000: nr=1731, ctr1=2, ctr2=4, ctr3=2, RNA=5032  (tn=40320, r=30)
step=280000: nr=1715, ctr1=2, ctr2=4, ctr3=2, RNA=4992  (tn=40320, r=25)
step=290000: nr=1726, ctr1=2, ctr2=4, ctr3=2, RNA=5001  (tn=40320, r=28)
step=300000: nr=1720, ctr1=2, ctr2=4, ctr3=2, RNA=4978  (tn=40320, r=26)
step=310000: nr=1695, ctr1=2, ctr2=4, ctr3=2, RNA=4961  (tn=40320, r=19)
step=320000: nr=1688, ctr1=2, ctr2=4, ctr3=2, RNA=4948  (tn=40320, r=24)
step=330000: nr=1701, ctr1=2, ctr2=3, ctr3=1, RNA=4964  (tn=40320, r=27)
step=340000: nr=1679, ctr1=2, ctr2=3, ctr3=1, RNA=4977  (tn=40320, r=30)
step=350000: nr=1662, ctr1=2, ctr2=3, ctr3=1, RNA=4959  (tn=40320, r=25)
step=360000: nr=1648, ctr1=2, ctr2=3, ctr3=1, RNA=4946  (tn=40320, r=24)
step=370000: nr=1647, ctr1=2, ctr2=3, ctr3=1, RNA=4970  (tn=40320, r=44)
step=380000: nr=1624, ctr1=2, ctr2=3, ctr3=1, RNA=4935  (tn=40320, r=34)
step=390000: nr=1621, ctr1=2, ctr2=4, ctr3=1, RNA=4925  (tn=40320, r=33)
step=400000: nr=1598, ctr1=2, ctr2=4, ctr3=1, RNA=4888  (tn=40320, r=40)
step=410000: nr=1580, ctr1=2, ctr2=3, ctr3=1, RNA=4916  (tn=40320, r=34)
step=420000: nr=1570, ctr1=2, ctr2=3, ctr3=1, RNA=4940  (tn=40320, r=34)
step=430000: nr=1548, ctr1=2, ctr2=3, ctr3=1, RNA=4924  (tn=40320, r=38)
step=440000: nr=1537, ctr1=2, ctr2=3, ctr3=1, RNA=4902  (tn=40320, r=38)
step=450000: nr=1541, ctr1=2, ctr2=3, ctr3=1, RNA=4899  (tn=40320, r=36)
step=460000: nr=1519, ctr1=1, ctr2=3, ctr3=1, RNA=4865  (tn=40320, r=28)
step=470000: nr=1521, ctr1=1, ctr2=2, ctr3=1, RNA=4849  (tn=40320, r=35)
step=480000: nr=1510, ctr1=1, ctr2=1, ctr3=1, RNA=4837  (tn=40320, r=39)
step=490000: nr=1495, ctr1=1, ctr2=1, ctr3=1, RNA=4863  (tn=40320, r=32)
step=500000: nr=1475, ctr1=1, ctr2=1, ctr3=1, RNA=4850  (tn=40320, r=38)
step=510000: nr=1459, ctr1=1, ctr2=1, ctr3=1, RNA=4845  (tn=40320, r=33)
step=520000: nr=1456, ctr1=1, ctr2=1, ctr3=1, RNA=4874  (tn=40320, r=42)
step=530000: nr=1434, ctr1=1, ctr2=1, ctr3=1, RNA=4886  (tn=40320, r=49)
step=540000: nr=1410, ctr1=1, ctr2=1, ctr3=1, RNA=4892  (tn=40320, r=39)
step=550000: nr=1409, ctr1=1, ctr2=1, ctr3=1, RNA=4868  (tn=40320, r=41)
step=560000: nr=1383, ctr1=1, ctr2=1, ctr3=1, RNA=4843  (tn=40320, r=41)
step=570000: nr=1383, ctr1=1, ctr2=1, ctr3=1, RNA=4847  (tn=40320, r=49)
step=580000: nr=1371, ctr1=1, ctr2=1, ctr3=1, RNA=4871  (tn=40320, r=41)
step=590000: nr=1362, ctr1=1, ctr2=1, ctr3=1, RNA=4868  (tn=40320, r=49)
step=600000: nr=1349, ctr1=1, ctr2=1, ctr3=1, RNA=4861  (tn=40320, r=49)
step=610000: nr=1339, ctr1=1, ctr2=1, ctr3=1, RNA=4894  (tn=40320, r=46)
step=620000: nr=1338, ctr1=1, ctr2=1, ctr3=1, RNA=4892  (tn=40320, r=60)
step=630000: nr=1337, ctr1=1, ctr2=1, ctr3=0, RNA=4880  (tn=40320, r=43)
step=640000: nr=1332, ctr1=1, ctr2=1, ctr3=0, RNA=4882  (tn=40320, r=52)
step=650000: nr=1330, ctr1=1, ctr2=1, ctr3=0, RNA=4881  (tn=40320, r=51)
step=660000: nr=1319, ctr1=1, ctr2=1, ctr3=0, RNA=4858  (tn=40320, r=45)
step=670000: nr=1315, ctr1=1, ctr2=1, ctr3=0, RNA=4866  (tn=40320, r=43)
step=680000: nr=1306, ctr1=1, ctr2=1, ctr3=0, RNA=4873  (tn=40320, r=40)
step=690000: nr=1299, ctr1=1, ctr2=1, ctr3=0, RNA=4846  (tn=40320, r=51)
step=700000: nr=1298, ctr1=1, ctr2=1, ctr3=0, RNA=4854  (tn=40320, r=55)
step=710000: nr=1297, ctr1=1, ctr2=1, ctr3=0, RNA=4905  (tn=40320, r=52)
step=720000: nr=1305, ctr1=1, ctr2=1, ctr3=0, RNA=4903  (tn=40320, r=45)
step=730000: nr=1302, ctr1=1, ctr2=1, ctr3=0, RNA=4911  (tn=40320, r=65)
step=740000: nr=1283, ctr1=1, ctr2=1, ctr3=0, RNA=4885  (tn=40320, r=50)
step=750000: nr=1294, ctr1=1, ctr2=1, ctr3=0, RNA=4895  (tn=40320, r=46)
step=760000: nr=1291, ctr1=1, ctr2=1, ctr3=0, RNA=4879  (tn=40320, r=38)
step=770000: nr=1304, ctr1=1, ctr2=1, ctr3=0, RNA=4871  (tn=40320, r=48)
step=780000: nr=1281, ctr1=1, ctr2=1, ctr3=0, RNA=4859  (tn=40320, r=49)
step=790000: nr=1294, ctr1=1, ctr2=1, ctr3=0, RNA=4852  (tn=40320, r=47)
step=800000: nr=1283, ctr1=1, ctr2=1, ctr3=0, RNA=4853  (tn=40320, r=53)
step=810000: nr=1287, ctr1=1, ctr2=1, ctr3=0, RNA=4828  (tn=40320, r=44)
step=820000: nr=1293, ctr1=1, ctr2=1, ctr3=0, RNA=4808  (tn=40320, r=61)
step=830000: nr=1291, ctr1=1, ctr2=1, ctr3=0, RNA=4811  (tn=40320, r=40)
step=840000: nr=1278, ctr1=1, ctr2=1, ctr3=0, RNA=4805  (tn=40320, r=62)
step=850000: nr=1276, ctr1=0, ctr2=0, ctr3=0, RNA=4820  (tn=40320, r=42)
step=860000: nr=1270, ctr1=0, ctr2=0, ctr3=0, RNA=4793  (tn=40320, r=47)
step=870000: nr=1270, ctr1=0, ctr2=0, ctr3=0, RNA=4792  (tn=40320, r=55)
step=880000: nr=1264, ctr1=0, ctr2=0, ctr3=0, RNA=4780  (tn=40320, r=68)
step=890000: nr=1278, ctr1=0, ctr2=0, ctr3=0, RNA=4765  (tn=40320, r=50)
step=900000: nr=1277, ctr1=0, ctr2=0, ctr3=0, RNA=4730  (tn=40320, r=78)
