step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=10000: nr=10, ctr1=10, ctr2=10, ctr3=10, RNA=2414  (tn=40320, r=37505)
step=20000: nr=445, ctr1=21, ctr2=9, ctr3=10, RNA=5703  (tn=40320, r=23775)
step=30000: nr=1304, ctr1=30, ctr2=9, ctr3=10, RNA=8072  (tn=40320, r=6988)
step=40000: nr=1773, ctr1=29, ctr2=9, ctr3=10, RNA=7963  (tn=40320, r=1986)
step=50000: nr=1956, ctr1=31, ctr2=9, ctr3=10, RNA=7567  (tn=40320, r=543)
step=60000: nr=2052, ctr1=29, ctr2=9, ctr3=8, RNA=7246  (tn=40320, r=149)
step=70000: nr=2087, ctr1=29, ctr2=9, ctr3=9, RNA=6940  (tn=40320, r=28)
step=80000: nr=2112, ctr1=28, ctr2=9, ctr3=9, RNA=6634  (tn=40320, r=11)
step=90000: nr=2130, ctr1=27, ctr2=8, ctr3=9, RNA=6434  (tn=40320, r=3)
step=100000: nr=2073, ctr1=25, ctr2=8, ctr3=9, RNA=6148  (tn=40320, r=7)
step=110000: nr=2055, ctr1=25, ctr2=7, ctr3=9, RNA=6000  (tn=40320, r=14)
step=120000: nr=2013, ctr1=25, ctr2=7, ctr3=9, RNA=5847  (tn=40320, r=10)
step=130000: nr=1971, ctr1=24, ctr2=7, ctr3=8, RNA=5723  (tn=40320, r=7)
step=140000: nr=1950, ctr1=23, ctr2=7, ctr3=8, RNA=5616  (tn=40320, r=10)
step=150000: nr=1911, ctr1=24, ctr2=7, ctr3=7, RNA=5516  (tn=40320, r=8)
step=160000: nr=1875, ctr1=25, ctr2=6, ctr3=7, RNA=5431  (tn=40320, r=17)
step=170000: nr=1864, ctr1=26, ctr2=6, ctr3=7, RNA=5346  (tn=40320, r=20)
step=180000: nr=1846, ctr1=26, ctr2=6, ctr3=7, RNA=5325  (tn=40320, r=13)
step=190000: nr=1830, ctr1=27, ctr2=6, ctr3=7, RNA=5252  (tn=40320, r=16)
step=200000: nr=1813, ctr1=27, ctr2=4, ctr3=7, RNA=5206  (tn=40320, r=15)
step=210000: nr=1793, ctr1=26, ctr2=4, ctr3=7, RNA=5164  (tn=40320, r=19)
step=220000: nr=1767, ctr1=26, ctr2=4, ctr3=7, RNA=5142  (tn=40320, r=32)
step=230000: nr=1739, ctr1=27, ctr2=4, ctr3=7, RNA=5117  (tn=40320, r=26)
step=240000: nr=1735, ctr1=28, ctr2=4, ctr3=7, RNA=5088  (tn=40320, r=22)
step=250000: nr=1721, ctr1=25, ctr2=4, ctr3=7, RNA=5027  (tn=40320, r=26)
step=260000: nr=1712, ctr1=26, ctr2=4, ctr3=7, RNA=5003  (tn=40320, r=24)
step=270000: nr=1696, ctr1=26, ctr2=4, ctr3=7, RNA=4981  (tn=40320, r=26)
step=280000: nr=1704, ctr1=25, ctr2=4, ctr3=7, RNA=4995  (tn=40320, r=23)
step=290000: nr=1693, ctr1=27, ctr2=4, ctr3=6, RNA=4928  (tn=40320, r=31)
step=300000: nr=1662, ctr1=25, ctr2=3, ctr3=5, RNA=4926  (tn=40320, r=23)
step=310000: nr=1666, ctr1=24, ctr2=2, ctr3=4, RNA=4922  (tn=40320, r=32)
step=320000: nr=1661, ctr1=24, ctr2=2, ctr3=3, RNA=4935  (tn=40320, r=30)
step=330000: nr=1647, ctr1=24, ctr2=2, ctr3=3, RNA=4918  (tn=40320, r=40)
step=340000: nr=1645, ctr1=23, ctr2=2, ctr3=3, RNA=4940  (tn=40320, r=35)
step=350000: nr=1639, ctr1=23, ctr2=2, ctr3=2, RNA=4919  (tn=40320, r=32)
step=360000: nr=1628, ctr1=23, ctr2=2, ctr3=2, RNA=4922  (tn=40320, r=33)
step=370000: nr=1622, ctr1=22, ctr2=2, ctr3=2, RNA=4890  (tn=40320, r=41)
step=380000: nr=1620, ctr1=21, ctr2=2, ctr3=2, RNA=4915  (tn=40320, r=37)
step=390000: nr=1617, ctr1=19, ctr2=2, ctr3=2, RNA=4879  (tn=40320, r=36)
step=400000: nr=1624, ctr1=19, ctr2=2, ctr3=2, RNA=4897  (tn=40320, r=33)
step=410000: nr=1606, ctr1=19, ctr2=2, ctr3=2, RNA=4854  (tn=40320, r=37)
step=420000: nr=1602, ctr1=18, ctr2=2, ctr3=2, RNA=4898  (tn=40320, r=34)
step=430000: nr=1597, ctr1=18, ctr2=2, ctr3=1, RNA=4887  (tn=40320, r=36)
step=440000: nr=1580, ctr1=18, ctr2=2, ctr3=1, RNA=4918  (tn=40320, r=33)
step=450000: nr=1553, ctr1=17, ctr2=2, ctr3=0, RNA=4907  (tn=40320, r=40)
step=460000: nr=1554, ctr1=17, ctr2=2, ctr3=0, RNA=4913  (tn=40320, r=40)
step=470000: nr=1566, ctr1=15, ctr2=2, ctr3=0, RNA=4914  (tn=40320, r=28)
step=480000: nr=1567, ctr1=16, ctr2=2, ctr3=0, RNA=4896  (tn=40320, r=42)
step=490000: nr=1557, ctr1=16, ctr2=2, ctr3=0, RNA=4895  (tn=40320, r=49)
step=500000: nr=1551, ctr1=16, ctr2=2, ctr3=0, RNA=4849  (tn=40320, r=47)
step=510000: nr=1553, ctr1=16, ctr2=2, ctr3=0, RNA=4855  (tn=40320, r=33)
step=520000: nr=1537, ctr1=16, ctr2=2, ctr3=0, RNA=4888  (tn=40320, r=40)
step=530000: nr=1527, ctr1=14, ctr2=2, ctr3=0, RNA=4894  (tn=40320, r=44)
step=540000: nr=1523, ctr1=15, ctr2=2, ctr3=0, RNA=4882  (tn=40320, r=50)
step=550000: nr=1526, ctr1=14, ctr2=2, ctr3=0, RNA=4866  (tn=40320, r=49)
step=560000: nr=1539, ctr1=14, ctr2=1, ctr3=0, RNA=4871  (tn=40320, r=47)
step=570000: nr=1535, ctr1=14, ctr2=1, ctr3=0, RNA=4879  (tn=40320, r=47)
step=580000: nr=1532, ctr1=13, ctr2=1, ctr3=0, RNA=4880  (tn=40320, r=32)
step=590000: nr=1542, ctr1=13, ctr2=1, ctr3=0, RNA=4875  (tn=40320, r=30)
step=600000: nr=1512, ctr1=12, ctr2=1, ctr3=0, RNA=4870  (tn=40320, r=49)
step=610000: nr=1508, ctr1=12, ctr2=1, ctr3=0, RNA=4860  (tn=40320, r=42)
step=620000: nr=1512, ctr1=12, ctr2=1, ctr3=0, RNA=4845  (tn=40320, r=40)
step=630000: nr=1489, ctr1=12, ctr2=1, ctr3=0, RNA=4847  (tn=40320, r=37)
step=640000: nr=1488, ctr1=12, ctr2=1, ctr3=0, RNA=4890  (tn=40320, r=51)
step=650000: nr=1488, ctr1=12, ctr2=1, ctr3=0, RNA=4891  (tn=40320, r=39)
step=660000: nr=1480, ctr1=12, ctr2=1, ctr3=0, RNA=4868  (tn=40320, r=47)
step=670000: nr=1487, ctr1=11, ctr2=1, ctr3=0, RNA=4868  (tn=40320, r=40)
step=680000: nr=1482, ctr1=11, ctr2=1, ctr3=0, RNA=4858  (tn=40320, r=50)
step=690000: nr=1449, ctr1=11, ctr2=1, ctr3=0, RNA=4882  (tn=40320, r=58)
step=700000: nr=1449, ctr1=10, ctr2=1, ctr3=0, RNA=4871  (tn=40320, r=55)
step=710000: nr=1451, ctr1=10, ctr2=1, ctr3=0, RNA=4862  (tn=40320, r=46)
step=720000: nr=1441, ctr1=10, ctr2=1, ctr3=0, RNA=4878  (tn=40320, r=56)
step=730000: nr=1441, ctr1=10, ctr2=1, ctr3=0, RNA=4879  (tn=40320, r=45)
step=740000: nr=1448, ctr1=10, ctr2=1, ctr3=0, RNA=4863  (tn=40320, r=45)
step=750000: nr=1424, ctr1=9, ctr2=1, ctr3=0, RNA=4866  (tn=40320, r=64)
step=760000: nr=1428, ctr1=9, ctr2=1, ctr3=0, RNA=4909  (tn=40320, r=51)
step=770000: nr=1407, ctr1=9, ctr2=1, ctr3=0, RNA=4887  (tn=40320, r=45)
step=780000: nr=1413, ctr1=8, ctr2=1, ctr3=0, RNA=4894  (tn=40320, r=61)
step=790000: nr=1422, ctr1=8, ctr2=1, ctr3=0, RNA=4886  (tn=40320, r=48)
step=800000: nr=1427, ctr1=8, ctr2=1, ctr3=0, RNA=4880  (tn=40320, r=64)
step=810000: nr=1418, ctr1=7, ctr2=1, ctr3=0, RNA=4864  (tn=40320, r=39)
step=820000: nr=1418, ctr1=7, ctr2=1, ctr3=0, RNA=4853  (tn=40320, r=65)
step=830000: nr=1416, ctr1=7, ctr2=1, ctr3=0, RNA=4847  (tn=40320, r=60)
