step=0: nr=0, ctr1=0, ctr2=0, ctr3=0, RNA=0  (tn=40000, r=40000)
step=10000: nr=10, ctr1=10, ctr2=10, ctr3=10, RNA=2416  (tn=40320, r=37519)
step=20000: nr=35, ctr1=29, ctr2=13, ctr3=13, RNA=2822  (tn=40320, r=35547)
step=30000: nr=96, ctr1=59, ctr2=17, ctr3=14, RNA=3350  (tn=40320, r=32712)
step=40000: nr=194, ctr1=80, ctr2=18, ctr3=13, RNA=3932  (tn=40320, r=29474)
step=50000: nr=299, ctr1=96, ctr2=19, ctr3=14, RNA=4628  (tn=40320, r=25534)
step=60000: nr=411, ctr1=95, ctr2=19, ctr3=15, RNA=5298  (tn=40320, r=21722)
step=70000: nr=521, ctr1=100, ctr2=19, ctr3=18, RNA=6120  (tn=40320, r=17815)
step=80000: nr=618, ctr1=107, ctr2=21, ctr3=18, RNA=6725  (tn=40320, r=14205)
step=90000: nr=693, ctr1=107, ctr2=22, ctr3=19, RNA=7286  (tn=40320, r=11110)
step=100000: nr=792, ctr1=110, ctr2=22, ctr3=19, RNA=7828  (tn=40320, r=7957)
step=110000: nr=922, ctr1=108, ctr2=22, ctr3=19, RNA=8069  (tn=40320, r=5341)
step=120000: nr=999, ctr1=113, ctr2=22, ctr3=19, RNA=8315  (tn=40320, r=3111)
step=130000: nr=1086, ctr1=115, ctr2=22, ctr3=19, RNA=8406  (tn=40320, r=1521)
step=140000: nr=1140, ctr1=117, ctr2=23, ctr3=20, RNA=8263  (tn=40320, r=709)
step=150000: nr=1206, ctr1=112, ctr2=23, ctr3=20, RNA=8118  (tn=40320, r=324)
step=160000: nr=1230, ctr1=120, ctr2=22, ctr3=19, RNA=7894  (tn=40320, r=183)
step=170000: nr=1244, ctr1=121, ctr2=22, ctr3=18, RNA=7662  (tn=40320, r=100)
step=180000: nr=1283, ctr1=127, ctr2=22, ctr3=17, RNA=7541  (tn=40320, r=39)
step=190000: nr=1274, ctr1=133, ctr2=21, ctr3=16, RNA=7330  (tn=40320, r=47)
step=200000: nr=1303, ctr1=126, ctr2=21, ctr3=15, RNA=7162  (tn=40320, r=29)
step=210000: nr=1326, ctr1=131, ctr2=20, ctr3=17, RNA=7077  (tn=40320, r=39)
step=220000: nr=1323, ctr1=135, ctr2=20, ctr3=17, RNA=6948  (tn=40320, r=20)
step=230000: nr=1333, ctr1=131, ctr2=20, ctr3=16, RNA=6874  (tn=40320, r=30)
step=240000: nr=1308, ctr1=131, ctr2=20, ctr3=16, RNA=6809  (tn=40320, r=20)
step=250000: nr=1322, ctr1=132, ctr2=18, ctr3=16, RNA=6708  (tn=40320, r=22)
step=260000: nr=1325, ctr1=130, ctr2=18, ctr3=13, RNA=6623  (tn=40320, r=20)
step=270000: nr=1310, ctr1=127, ctr2=17, ctr3=13, RNA=6535  (tn=40320, r=21)
step=280000: nr=1325, ctr1=135, ctr2=17, ctr3=13, RNA=6452  (tn=40320, r=24)
step=290000: nr=1325, ctr1=133, ctr2=17, ctr3=11, RNA=6397  (tn=40320, r=17)
step=300000: nr=1304, ctr1=140, ctr2=17, ctr3=10, RNA=6320  (tn=40320, r=17)
step=310000: nr=1315, ctr1=138, ctr2=17, ctr3=10, RNA=6310  (tn=40320, r=18)
step=320000: nr=1306, ctr1=141, ctr2=18, ctr3=9, RNA=6246  (tn=40320, r=22)
step=330000: nr=1301, ctr1=143, ctr2=17, ctr3=9, RNA=6189  (tn=40320, r=18)
step=340000: nr=1292, ctr1=147, ctr2=15, ctr3=9, RNA=6201  (tn=40320, r=19)
step=350000: nr=1289, ctr1=146, ctr2=15, ctr3=9, RNA=6124  (tn=40320, r=22)
step=360000: nr=1283, ctr1=145, ctr2=14, ctr3=9, RNA=6120  (tn=40320, r=15)
step=370000: nr=1256, ctr1=138, ctr2=14, ctr3=9, RNA=6096  (tn=40320, r=26)
step=380000: nr=1246, ctr1=143, ctr2=12, ctr3=8, RNA=6080  (tn=40320, r=21)
step=390000: nr=1235, ctr1=144, ctr2=12, ctr3=8, RNA=6077  (tn=40320, r=27)
step=400000: nr=1215, ctr1=146, ctr2=12, ctr3=8, RNA=6047  (tn=40320, r=28)
step=410000: nr=1215, ctr1=146, ctr2=13, ctr3=7, RNA=6039  (tn=40320, r=23)
step=420000: nr=1206, ctr1=156, ctr2=13, ctr3=6, RNA=6010  (tn=40320, r=25)
step=430000: nr=1207, ctr1=152, ctr2=13, ctr3=6, RNA=6001  (tn=40320, r=30)
step=440000: nr=1190, ctr1=150, ctr2=13, ctr3=6, RNA=5970  (tn=40320, r=26)
step=450000: nr=1181, ctr1=148, ctr2=13, ctr3=6, RNA=5996  (tn=40320, r=31)
step=460000: nr=1154, ctr1=150, ctr2=13, ctr3=6, RNA=5990  (tn=40320, r=35)
step=470000: nr=1148, ctr1=148, ctr2=12, ctr3=6, RNA=5961  (tn=40320, r=34)
step=480000: nr=1134, ctr1=150, ctr2=12, ctr3=6, RNA=5954  (tn=40320, r=36)
step=490000: nr=1135, ctr1=154, ctr2=12, ctr3=6, RNA=5923  (tn=40320, r=29)
step=500000: nr=1115, ctr1=156, ctr2=12, ctr3=6, RNA=5956  (tn=40320, r=27)
step=510000: nr=1112, ctr1=152, ctr2=12, ctr3=6, RNA=5927  (tn=40320, r=25)
step=520000: nr=1102, ctr1=148, ctr2=12, ctr3=6, RNA=5941  (tn=40320, r=28)
step=530000: nr=1085, ctr1=149, ctr2=13, ctr3=6, RNA=5901  (tn=40320, r=36)
step=540000: nr=1085, ctr1=142, ctr2=12, ctr3=6, RNA=5872  (tn=40320, r=30)
step=550000: nr=1071, ctr1=145, ctr2=11, ctr3=6, RNA=5907  (tn=40320, r=45)
step=560000: nr=1059, ctr1=142, ctr2=11, ctr3=6, RNA=5903  (tn=40320, r=38)
step=570000: nr=1057, ctr1=138, ctr2=11, ctr3=6, RNA=5897  (tn=40320, r=29)
step=580000: nr=1039, ctr1=141, ctr2=10, ctr3=6, RNA=5895  (tn=40320, r=43)
step=590000: nr=1023, ctr1=138, ctr2=10, ctr3=6, RNA=5902  (tn=40320, r=52)
step=600000: nr=1008, ctr1=136, ctr2=10, ctr3=6, RNA=5879  (tn=40320, r=50)
step=610000: nr=1010, ctr1=135, ctr2=10, ctr3=6, RNA=5879  (tn=40320, r=32)
step=620000: nr=999, ctr1=137, ctr2=10, ctr3=5, RNA=5835  (tn=40320, r=40)
step=630000: nr=999, ctr1=137, ctr2=9, ctr3=5, RNA=5837  (tn=40320, r=37)
step=640000: nr=988, ctr1=140, ctr2=9, ctr3=4, RNA=5835  (tn=40320, r=25)
step=650000: nr=993, ctr1=137, ctr2=9, ctr3=4, RNA=5851  (tn=40320, r=36)
step=660000: nr=978, ctr1=139, ctr2=9, ctr3=4, RNA=5817  (tn=40320, r=32)
step=670000: nr=976, ctr1=137, ctr2=9, ctr3=4, RNA=5833  (tn=40320, r=45)
step=680000: nr=967, ctr1=136, ctr2=9, ctr3=4, RNA=5835  (tn=40320, r=42)
step=690000: nr=971, ctr1=136, ctr2=8, ctr3=4, RNA=5821  (tn=40320, r=38)
step=700000: nr=955, ctr1=136, ctr2=8, ctr3=4, RNA=5842  (tn=40320, r=27)
step=710000: nr=950, ctr1=135, ctr2=7, ctr3=4, RNA=5821  (tn=40320, r=25)
step=720000: nr=948, ctr1=136, ctr2=7, ctr3=4, RNA=5806  (tn=40320, r=45)
step=730000: nr=936, ctr1=141, ctr2=7, ctr3=3, RNA=5824  (tn=40320, r=48)
step=740000: nr=922, ctr1=136, ctr2=6, ctr3=3, RNA=5828  (tn=40320, r=38)
step=750000: nr=923, ctr1=138, ctr2=6, ctr3=3, RNA=5781  (tn=40320, r=45)
step=760000: nr=926, ctr1=138, ctr2=6, ctr3=3, RNA=5772  (tn=40320, r=44)
step=770000: nr=913, ctr1=137, ctr2=6, ctr3=3, RNA=5794  (tn=40320, r=39)
step=780000: nr=909, ctr1=142, ctr2=6, ctr3=3, RNA=5753  (tn=40320, r=52)
step=790000: nr=906, ctr1=142, ctr2=5, ctr3=3, RNA=5744  (tn=40320, r=50)
step=800000: nr=909, ctr1=145, ctr2=5, ctr3=2, RNA=5803  (tn=40320, r=39)
step=810000: nr=908, ctr1=143, ctr2=5, ctr3=2, RNA=5777  (tn=40320, r=35)
step=820000: nr=912, ctr1=146, ctr2=5, ctr3=2, RNA=5767  (tn=40320, r=44)
step=830000: nr=893, ctr1=143, ctr2=5, ctr3=2, RNA=5778  (tn=40320, r=40)
step=840000: nr=901, ctr1=141, ctr2=5, ctr3=2, RNA=5758  (tn=40320, r=54)
step=850000: nr=882, ctr1=141, ctr2=5, ctr3=2, RNA=5780  (tn=40320, r=36)
step=860000: nr=873, ctr1=141, ctr2=5, ctr3=2, RNA=5798  (tn=40320, r=45)
step=870000: nr=876, ctr1=143, ctr2=5, ctr3=2, RNA=5799  (tn=40320, r=34)
step=880000: nr=871, ctr1=145, ctr2=5, ctr3=2, RNA=5763  (tn=40320, r=47)
step=890000: nr=858, ctr1=144, ctr2=5, ctr3=2, RNA=5777  (tn=40320, r=46)
step=900000: nr=856, ctr1=144, ctr2=4, ctr3=2, RNA=5769  (tn=40320, r=53)
step=910000: nr=860, ctr1=144, ctr2=4, ctr3=2, RNA=5753  (tn=40320, r=46)
step=920000: nr=852, ctr1=145, ctr2=4, ctr3=2, RNA=5734  (tn=40320, r=46)
step=930000: nr=858, ctr1=146, ctr2=4, ctr3=2, RNA=5786  (tn=40320, r=43)
step=940000: nr=849, ctr1=142, ctr2=4, ctr3=2, RNA=5756  (tn=40320, r=42)
step=950000: nr=850, ctr1=140, ctr2=4, ctr3=2, RNA=5756  (tn=40320, r=36)
step=960000: nr=835, ctr1=141, ctr2=4, ctr3=2, RNA=5712  (tn=40320, r=47)
step=970000: nr=836, ctr1=141, ctr2=4, ctr3=2, RNA=5707  (tn=40320, r=47)
step=980000: nr=835, ctr1=142, ctr2=4, ctr3=2, RNA=5683  (tn=40320, r=42)
step=990000: nr=825, ctr1=143, ctr2=4, ctr3=2, RNA=5696  (tn=40320, r=38)
step=1000000: nr=833, ctr1=140, ctr2=4, ctr3=2, RNA=5725  (tn=40320, r=30)
step=1010000: nr=826, ctr1=139, ctr2=4, ctr3=2, RNA=5726  (tn=40320, r=48)
step=1020000: nr=839, ctr1=139, ctr2=4, ctr3=2, RNA=5711  (tn=40320, r=55)
step=1030000: nr=834, ctr1=138, ctr2=4, ctr3=2, RNA=5714  (tn=40320, r=36)
step=1040000: nr=829, ctr1=135, ctr2=4, ctr3=2, RNA=5704  (tn=40320, r=41)
step=1050000: nr=829, ctr1=133, ctr2=4, ctr3=2, RNA=5708  (tn=40320, r=50)
step=1060000: nr=827, ctr1=131, ctr2=4, ctr3=2, RNA=5707  (tn=40320, r=36)
step=1070000: nr=822, ctr1=129, ctr2=4, ctr3=2, RNA=5738  (tn=40320, r=42)
step=1080000: nr=820, ctr1=127, ctr2=3, ctr3=2, RNA=5748  (tn=40320, r=42)
step=1090000: nr=818, ctr1=129, ctr2=3, ctr3=2, RNA=5710  (tn=40320, r=48)
step=1100000: nr=815, ctr1=123, ctr2=3, ctr3=2, RNA=5680  (tn=40320, r=48)
step=1110000: nr=811, ctr1=125, ctr2=3, ctr3=1, RNA=5694  (tn=40320, r=39)
step=1120000: nr=811, ctr1=124, ctr2=3, ctr3=1, RNA=5700  (tn=40320, r=43)
step=1130000: nr=812, ctr1=121, ctr2=3, ctr3=1, RNA=5697  (tn=40320, r=45)
step=1140000: nr=814, ctr1=118, ctr2=3, ctr3=1, RNA=5689  (tn=40320, r=45)
step=1150000: nr=810, ctr1=123, ctr2=3, ctr3=1, RNA=5683  (tn=40320, r=53)
step=1160000: nr=792, ctr1=122, ctr2=3, ctr3=1, RNA=5706  (tn=40320, r=56)
step=1170000: nr=799, ctr1=122, ctr2=3, ctr3=1, RNA=5681  (tn=40320, r=49)
step=1180000: nr=796, ctr1=122, ctr2=3, ctr3=1, RNA=5672  (tn=40320, r=58)
step=1190000: nr=796, ctr1=126, ctr2=3, ctr3=0, RNA=5683  (tn=40320, r=33)
step=1200000: nr=801, ctr1=126, ctr2=3, ctr3=0, RNA=5651  (tn=40320, r=46)
step=1210000: nr=805, ctr1=124, ctr2=3, ctr3=0, RNA=5625  (tn=40320, r=34)
step=1220000: nr=796, ctr1=123, ctr2=3, ctr3=0, RNA=5643  (tn=40320, r=46)
step=1230000: nr=779, ctr1=122, ctr2=3, ctr3=0, RNA=5610  (tn=40320, r=64)
step=1240000: nr=777, ctr1=121, ctr2=3, ctr3=0, RNA=5621  (tn=40320, r=40)
step=1250000: nr=775, ctr1=120, ctr2=3, ctr3=0, RNA=5598  (tn=40320, r=44)
step=1260000: nr=760, ctr1=116, ctr2=3, ctr3=0, RNA=5612  (tn=40320, r=57)
step=1270000: nr=767, ctr1=113, ctr2=3, ctr3=0, RNA=5631  (tn=40320, r=44)
step=1280000: nr=764, ctr1=113, ctr2=3, ctr3=0, RNA=5646  (tn=40320, r=41)
step=1290000: nr=759, ctr1=114, ctr2=3, ctr3=0, RNA=5665  (tn=40320, r=48)
step=1300000: nr=755, ctr1=110, ctr2=3, ctr3=0, RNA=5658  (tn=40320, r=44)
step=1310000: nr=758, ctr1=114, ctr2=3, ctr3=0, RNA=5650  (tn=40320, r=53)
step=1320000: nr=752, ctr1=112, ctr2=3, ctr3=0, RNA=5631  (tn=40320, r=45)
step=1330000: nr=752, ctr1=112, ctr2=3, ctr3=0, RNA=5610  (tn=40320, r=51)
step=1340000: nr=745, ctr1=109, ctr2=2, ctr3=0, RNA=5610  (tn=40320, r=39)
step=1350000: nr=746, ctr1=106, ctr2=2, ctr3=0, RNA=5623  (tn=40320, r=42)
step=1360000: nr=744, ctr1=107, ctr2=2, ctr3=0, RNA=5646  (tn=40320, r=52)
step=1370000: nr=749, ctr1=111, ctr2=2, ctr3=0, RNA=5650  (tn=40320, r=37)
step=1380000: nr=744, ctr1=107, ctr2=2, ctr3=0, RNA=5694  (tn=40320, r=43)
step=1390000: nr=745, ctr1=105, ctr2=2, ctr3=0, RNA=5683  (tn=40320, r=41)
step=1400000: nr=737, ctr1=106, ctr2=2, ctr3=0, RNA=5675  (tn=40320, r=54)
step=1410000: nr=733, ctr1=104, ctr2=2, ctr3=0, RNA=5680  (tn=40320, r=55)
step=1420000: nr=728, ctr1=109, ctr2=2, ctr3=0, RNA=5674  (tn=40320, r=49)
step=1430000: nr=724, ctr1=105, ctr2=2, ctr3=0, RNA=5693  (tn=40320, r=37)
