step=0: nr=0,  gr=0, contr1=0, contr2=0, npr=0, c=0, c0=0,cnr=0,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=10000: nr=0,  gr=10, contr1=10, contr2=0, npr=0, c=154, c0=144,cnr=0,cgr=10,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=20000: nr=0,  gr=427, contr1=257, contr2=0, npr=0, c=173, c0=108,cnr=0,cgr=65,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=30000: nr=0,  gr=872, contr1=167, contr2=0, npr=0, c=169, c0=27,cnr=0,cgr=142,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=40000: nr=0,  gr=1127, contr1=55, contr2=0, npr=0, c=160, c0=3,cnr=0,cgr=157,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=50000: nr=0,  gr=1110, contr1=14, contr2=0, npr=0, c=166, c0=1,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=60000: nr=0,  gr=1075, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=70000: nr=0,  gr=1010, contr1=0, contr2=0, npr=0, c=168, c0=3,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=80000: nr=0,  gr=848, contr1=0, contr2=0, npr=0, c=162, c0=9,cnr=0,cgr=153,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=90000: nr=0,  gr=874, contr1=0, contr2=0, npr=0, c=160, c0=3,cnr=0,cgr=157,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=100000: nr=0,  gr=935, contr1=0, contr2=0, npr=0, c=163, c0=5,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=110000: nr=0,  gr=1023, contr1=0, contr2=0, npr=0, c=164, c0=1,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=120000: nr=0,  gr=996, contr1=0, contr2=0, npr=0, c=162, c0=3,cnr=0,cgr=159,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=130000: nr=0,  gr=982, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=140000: nr=0,  gr=974, contr1=0, contr2=0, npr=0, c=167, c0=2,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=150000: nr=0,  gr=998, contr1=0, contr2=0, npr=0, c=169, c0=1,cnr=0,cgr=168,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
