step=0: nr=0,  gr=0, contr1=0, contr2=0, npr=0, c=0, c0=0,cnr=0,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=10000: nr=10,  gr=0, contr1=10, contr2=0, npr=0, c=157, c0=147,cnr=10,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=20000: nr=596,  gr=0, contr1=171, contr2=0, npr=0, c=157, c0=114,cnr=43,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=30000: nr=612,  gr=0, contr1=160, contr2=0, npr=0, c=163, c0=64,cnr=99,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=40000: nr=505,  gr=0, contr1=148, contr2=0, npr=0, c=156, c0=47,cnr=109,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=50000: nr=389,  gr=0, contr1=119, contr2=0, npr=0, c=159, c0=63,cnr=96,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=60000: nr=447,  gr=0, contr1=150, contr2=0, npr=0, c=153, c0=51,cnr=102,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=70000: nr=488,  gr=0, contr1=140, contr2=0, npr=0, c=161, c0=53,cnr=108,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=80000: nr=512,  gr=0, contr1=108, contr2=0, npr=0, c=156, c0=44,cnr=112,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=90000: nr=578,  gr=0, contr1=118, contr2=0, npr=0, c=155, c0=48,cnr=107,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=100000: nr=629,  gr=0, contr1=109, contr2=0, npr=0, c=163, c0=46,cnr=117,cgr=0,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
