step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4676 (0)  (tn=80640, r=75156)
step=20000: nr=14 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=2 (0), ctr3=2 (0), unit=6656 (0)  (tn=80640, r=66369)
step=30000: nr=58 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9420 (0)  (tn=80640, r=53281)
step=40000: nr=104 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11160 (0)  (tn=80640, r=42644)
step=50000: nr=137 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11799 (0)  (tn=80640, r=36166)
step=60000: nr=164 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11974 (0)  (tn=80640, r=32627)
step=70000: nr=182 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12028 (0)  (tn=80640, r=30268)
step=80000: nr=210 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11982 (0)  (tn=80640, r=28231)
step=90000: nr=221 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11800 (0)  (tn=80640, r=27120)
step=100000: nr=242 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11527 (0)  (tn=80640, r=26051)
step=110000: nr=266 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11305 (0)  (tn=80640, r=24320)
step=120000: nr=284 (4), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11117 (9)  (tn=80640, r=22755)
step=130000: nr=269 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10936 (0)  (tn=80640, r=21010)
step=140000: nr=261 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10897 (0)  (tn=80640, r=19034)
step=150000: nr=303 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10887 (0)  (tn=80640, r=17659)
