----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4875 (0)  (tn=80640, r=74946)
----- step=20000: nr=15 (0), hr=0 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=1 (0), unit=7023 (0)  (tn=80640, r=64403)
----- step=30000: nr=83 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=1 (0), unit=9692 (0)  (tn=80640, r=48178)
----- step=40000: nr=196 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11255 (0)  (tn=80640, r=35194)
----- step=50000: nr=307 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11631 (0)  (tn=80640, r=27216)
----- step=60000: nr=389 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11389 (0)  (tn=80640, r=22859)
----- step=70000: nr=413 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11065 (0)  (tn=80640, r=19431)
----- step=80000: nr=421 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10932 (0)  (tn=80640, r=16765)
----- step=90000: nr=381 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10871 (0)  (tn=80640, r=14636)
----- step=100000: nr=427 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10891 (0)  (tn=80640, r=12901)
----- step=110000: nr=426 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11020 (0)  (tn=80640, r=11092)
----- step=120000: nr=420 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11042 (0)  (tn=80640, r=10008)
----- step=130000: nr=424 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11152 (0)  (tn=80640, r=8944)
----- step=140000: nr=400 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11041 (0)  (tn=80640, r=8592)
----- step=150000: nr=376 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11083 (0)  (tn=80640, r=8569)
----- step=160000: nr=390 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11107 (0)  (tn=80640, r=7978)
