step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4857 (0)  (tn=80640, r=74966)
step=20000: nr=10 (0), hr=0 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=0 (0), ctr3=0 (0), unit=6938 (0)  (tn=80640, r=64972)
step=30000: nr=68 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9982 (0)  (tn=80640, r=49752)
step=40000: nr=179 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11530 (0)  (tn=80640, r=38018)
step=50000: nr=228 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11889 (0)  (tn=80640, r=31396)
step=60000: nr=270 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11928 (0)  (tn=80640, r=26896)
step=70000: nr=329 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11723 (0)  (tn=80640, r=24192)
step=80000: nr=329 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11535 (0)  (tn=80640, r=21650)
step=90000: nr=309 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11429 (0)  (tn=80640, r=19961)
step=100000: nr=349 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11290 (0)  (tn=80640, r=17838)
step=110000: nr=400 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11149 (0)  (tn=80640, r=16122)
step=120000: nr=406 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11045 (0)  (tn=80640, r=14191)
step=130000: nr=323 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11086 (0)  (tn=80640, r=12864)
step=140000: nr=343 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11150 (0)  (tn=80640, r=11823)
step=150000: nr=351 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11119 (0)  (tn=80640, r=11506)
